tir,vpn,vpn_ajuste
0.170681681,273171580.9,273.1715809
0.169949399,275275878.4,275.2758784
0.328653656,276917473.5,276.9174735
0.389247999,275461501.7,275.4615017
0.260221643,271584648.5,271.5846485
0.297147778,271290507.6,271.2905076
0.349016268,270330590.3,270.3305903
0.173740015,271601180.8,271.6011808
0.387144837,272262960.7,272.2629607
0.37997601,274301910.4,274.3019104
0.224730399,269944844.3,269.9448443
0.341884432,270441210.5,270.4412105
0.231602879,276267273.9,276.2672739
0.353714835,272294130.8,272.2941308
0.24451667,277680643.4,277.6806434
0.288886101,272266529.5,272.2665295
0.25847104,272643469,272.643469
0.159441452,274688548.5,274.6885485
0.318896312,277894934.8,277.8949348
0.152913846,273877584.2,273.8775842
0.394143927,275523625.3,275.5236253
0.391672393,274093699.4,274.0936994
0.287154642,277638067,277.638067
0.35790715,274147803.6,274.1478036
0.286344699,269994656.4,269.9946564
0.316588326,273164089.5,273.1640895
0.342533122,276233277.5,276.2332775
0.22191784,278513099,278.513099
0.120858122,272975706.3,272.9757063
0.448001752,278916286.9,278.9162869
0.285580844,271350787.8,271.3507878
0.19702301,277126707.4,277.1267074
0.237720006,276554760.1,276.5547601
0.34917679,273503272.6,273.5032726
0.233899385,272593861.9,272.5938619
0.314075922,278012527.7,278.0125277
0.404740192,268808059.3,268.8080593
0.237122731,276323254.1,276.3232541
0.404714358,270636077.8,270.6360778
0.419459495,272816485.2,272.8164852
0.259647519,276635230.1,276.6352301
0.114925139,274812081.7,274.8120817
0.378701722,271979252,271.979252
0.432904853,277558244.6,277.5582446
0.284079218,273380514.9,273.3805149
0.305322996,273853695.7,273.8536957
0.262532994,276554612.8,276.5546128
0.215488244,274656185.6,274.6561856
0.007352801,273078614.3,273.0786143
0.161038801,274676385.6,274.6763856
0.369706135,275918188.1,275.9181881
0.147380825,274649347.4,274.6493474
0.510791038,276199928.9,276.1999289
0.171605406,277241706.4,277.2417064
0.317911416,276132679.1,276.1326791
0.229153713,277131510.9,277.1315109
0.200561567,274335444.9,274.3354449
0.287352692,271596888.8,271.5968888
0.522838298,270486341.7,270.4863417
0.423553262,275179130.7,275.1791307
0.41133297,274984135.1,274.9841351
0.389054612,273445663.9,273.4456639
0.268399011,278335753.5,278.3357535
0.237686269,271968674.1,271.9686741
0.304825481,271600020.3,271.6000203
0.387547486,273149075.1,273.1490751
0.191651434,274603806.5,274.6038065
0.455028017,269989226.6,269.9892266
0.226495641,271914505.6,271.9145056
0.21276531,271385223.8,271.3852238
0.237579385,273661045.4,273.6610454
0.25473229,271229047,271.229047
0.363217823,274662036.9,274.6620369
0.183476922,274885479,274.885479
0.368924816,275155773.4,275.1557734
0.46617418,273440371.1,273.4403711
0.158043844,277982236.7,277.9822367
0.253931277,275003857.8,275.0038578
0.382208438,277109024.6,277.1090246
0.374691508,267838395.3,267.8383953
0.222922819,278747231,278.747231
0.400897644,274495903.7,274.4959037
0.253087753,273391916.6,273.3919166
0.333409903,269834466.5,269.8344665
0.253543347,270696315,270.696315
0.139505627,273888736.9,273.8887369
0.36488004,275741418.2,275.7414182
0.287174088,271374037.1,271.3740371
0.218907074,276761230.2,276.7612302
0.433492878,273248770.4,273.2487704
0.269725433,273839341.5,273.8393415
0.271604347,273270884.6,273.2708846
0.214006791,275218299,275.218299
0.364799191,266914088.7,266.9140887
0.33073268,278323067,278.323067
0.10528637,270318719.6,270.3187196
0.29346523,274879407.7,274.8794077
0.19617662,279307251.1,279.3072511
0.194111049,275383685.7,275.3836857
0.244059641,274184518.1,274.1845181
0.428301825,264170531.6,264.1705316
0.295344509,270618845.9,270.6188459
0.375407959,275409406.2,275.4094062
0.138769671,274393948.2,274.3939482
0.397203722,275258963.4,275.2589634
0.312527343,274831823.2,274.8318232
0.27511119,274555178.2,274.5551782
0.330853855,272911937.8,272.9119378
0.272641907,273213376.2,273.2133762
0.199247804,279121604,279.121604
0.427858089,275311846.2,275.3118462
0.370073719,277882635,277.882635
0.221661828,274568662.2,274.5686622
0.300407546,271414923.1,271.4149231
0.30388175,269303538,269.303538
0.296417278,276066624.4,276.0666244
0.308773996,279489876.7,279.4898767
0.195278952,270946418.1,270.9464181
0.339037891,271780364.1,271.7803641
0.284496764,275576292.7,275.5762927
0.26383873,277539060.1,277.5390601
